,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
hB_RNA_8085,4.525562466,12.69590399,7.398286243,7.789667677,1.929200693,8.096015675,1.657261229,10.62210955,8.163683466,5.935260722,3.313978416,8.412018538,8.778133267,5.08510619,3.64204745,6.417136113,6.054884936,6.641491759,9.784415884,6.766370342,4.066387222,8.948526808,7.112434017,5.190127925,6.770496379,5.55945686,6.697901873,4.899868727,5.693941422,6.69489296,2.931805441,5.548510442,6.059957173,5.588939059,2.77974769,3.7530708,9.531716005
BM_22_230,3.323933945,12.18237967,7.468084265,7.94918481,0.775523364,5.611404619,0.609518896,10.67503889,8.314318371,5.392329982,2.167699584,8.086529626,8.934878716,3.910765375,3.114570245,5.909946581,6.713880681,6.837592595,9.991981857,6.635231426,4.420963727,8.532035937,6.119965306,3.802918763,6.763668845,5.699639183,6.84102349,4.804602737,6.497663286,6.785555274,3.228987082,5.607898099,5.960523545,5.663611252,4.095817516,1.946284152,10.05341746
BM_22_38,4.39166498,12.81443002,7.380850679,8.068178167,-0.003668344,6.282439393,2.282608005,10.62658366,8.501128645,5.437149057,1.781984029,8.344547695,9.110796709,5.00420901,4.325152424,6.608823338,5.703938898,7.195578523,10.02087452,7.060547112,5.144418439,9.667046367,5.877355713,4.804821125,6.939453498,5.994576017,7.083591268,5.132098361,4.856518655,6.84885183,3.860757155,5.268103281,6.217420778,5.781681431,2.245179658,3.77323754,10.20809156
hB_RNA_10332,3.711836071,11.54999448,7.342047112,7.73776471,2.789509645,8.948744154,1.908748184,10.55001146,8.467246101,5.423502184,4.533720927,7.781677339,8.780774918,4.740815795,4.66976512,6.283270699,5.928442789,6.682665899,9.964997379,6.741283552,4.141654855,8.76446158,6.969188341,4.948540445,7.066603232,5.980388953,6.515297415,4.237053756,5.424935259,6.928074189,3.723375389,5.128905435,5.390377259,5.752838163,2.793831359,3.273195249,9.662335121
BM_22_147,4.084623975,13.38516359,7.420325921,8.520719956,3.180267769,8.434394574,3.015639853,11.36847987,8.029808051,6.084754753,4.457783894,8.806067868,9.412062878,4.745312978,5.878029665,7.476405014,5.150897734,7.462809934,10.58552166,7.36501663,4.097193735,10.18666715,5.684492576,5.770902603,6.996322874,6.797587814,7.780266116,5.416594737,4.580652047,7.673199948,4.274477184,5.228231644,6.79928428,6.636939156,2.152658802,2.955403098,10.85548835
BM_22_183,3.766454752,13.21706291,7.604818675,7.598343333,2.215981707,7.430134986,1.239305186,10.39135049,8.398828559,5.632138403,3.6500915,7.657502149,8.817469005,4.396687907,3.496936254,5.815980427,6.699336416,6.75625137,10.02764188,6.71033297,3.839176954,8.597541895,7.019412538,4.648807642,7.248984154,6.014207532,6.63661786,3.83993157,5.851897199,6.660445122,3.463399814,5.423343798,5.763208029,5.870237988,2.507007195,2.459111972,9.552817243
hB_RNA_9148,3.024449728,12.92977767,7.32171357,7.82838183,-0.312491713,4.574502506,3.767637984,10.7363774,8.382625755,5.911769214,0.934907038,8.071050044,9.030926905,5.342917167,5.063040048,6.690544293,5.841713746,6.712273312,10.10108803,6.822496232,4.683096767,9.161900238,6.43435029,5.56120932,7.225268005,6.012179598,7.047829414,4.8896138,5.309575416,6.648308246,4.426971172,5.211579622,6.190569361,6.435341611,1.114184463,2.874436137,9.986276479
BM_22_96,3.249727238,12.95288557,7.190309582,7.423028508,0.185970546,5.40971794,2.713796324,10.6458641,8.022537621,5.430258076,1.430597895,7.068166668,8.736766862,4.5357507,3.624335516,5.641088589,5.771733681,6.520670531,10.17788911,7.1068376,3.068190471,8.066654098,6.64004795,4.444447745,7.215071202,5.545692291,6.518376492,4.666382372,6.208116388,6.33049123,4.589181491,5.756111448,6.28343749,6.653262364,2.75770889,1.731844294,9.308478495
BM_22_255,3.869727785,12.92571469,7.366715297,8.136645138,1.536984904,6.907470623,1.963544079,11.41722225,8.320628075,5.96269537,1.886626716,8.532446322,8.833043784,4.950238547,5.671303136,7.695965993,5.443330778,6.947375483,10.16564075,6.812491112,3.860472219,8.895465595,6.697822694,5.485101436,6.818046108,6.68110477,7.496973147,5.405874453,4.705162955,6.641708094,4.20162322,5.297464679,6.328308413,6.000577457,2.446100858,3.469265958,10.3321432
hB_RNA_9150,3.930079963,12.45518978,7.495109978,7.746369374,0.735645756,7.019274524,2.266346982,10.46609778,8.418391366,5.735345154,2.612343999,8.213790125,8.743020211,4.822849443,4.848026351,6.832845,6.243474588,6.657457776,10.25156415,6.790988559,4.75219147,8.832578632,6.888185918,5.023049602,7.282450149,6.011546188,6.849683252,4.349945477,5.619540449,6.866494209,3.52322494,5.396241687,5.290612233,5.851528004,2.237705917,2.18275771,9.132872691
